nome,preco,sku,stock,tema,subtema,peso
Super Battle Droid,1,SB07,0,Star Wars,semsubtema,10
IG-88 v2 Preto,1.25,XN01,0,Star Wars,semsubtema,10
Marge Simpson,2.25,MS04,0,Os Simpsons,semsubtema,10
Nelson Muntz ,2.25,NM02,0,Os Simpsons,semsubtema,10
Milhouse ,2.25,MI02,0,Os Simpsons,semsubtema,10
Ponda Baba,2.25,PB01,0,Star Wars,semsubtema,10
Cowboy v9,1.95,CV15,0,Faroeste,semsubtema,10
Cowboy v6,1.95,CV12,0,Faroeste,semsubtema,10
Bossk,1.75,BO08,0,Star Wars,semsubtema,10
Billy Hargrove ,2.95,BH01,0,Stranger Things,semsubtema,10
Penguin BD,1.95,PB03,0,DC Comics,semsubtema,10
Riddler Filme Lego,1.95,RF01,0,DC Comics,semsubtema,10
James Gordon ,1.75,JG01,0,DC Comics,semsubtema,10
Magma,2.5,MA03,0,Marvel,X-Men,10
Tarantula,1.75,TA03,0,Marvel,semsubtema,10
Elektra,1.95,EL02,0,Marvel,semsubtema,10
Saesee Tiin ,1.75,ST01,0,Star Wars,semsubtema,10
Mr. Burns ,2.25,MB03,0,Os Simpsons,semsubtema,10
Patty Bouvier ,2.25,PB99,0,Os Simpsons,semsubtema,10
Chief Wiggum ,2.25,CW01,0,Os Simpsons,semsubtema,10
Grampa ,2.25,GR03,0,Os Simpsons,semsubtema,10
Joker Heath Ledger v3,2.25,JH07,0,DC Comics,semsubtema,10
Ghost Rider v2 com mota,2.95,GR02,0,Marvel,semsubtema,10
Michael Jackson ,1.95,MJ03,0,Famosos,semsubtema,10
Buzz Lightyear ,1.75,ML01,0,Toy Story,semsubtema,10
Duke Caboom ,2.95,DC02,0,Toy Story,semsubtema,10
Stripe,1.75,GR07,0,Filmes e Séries,semsubtema,10
Joker Heath Ledger v1,1.75,JH05,0,DC Comics,semsubtema,10
Shazam BD,1.75,SB04,0,DC Comics,semsubtema,10
Kingpin v1,1.75,KV01,0,Marvel,semsubtema,10
Han Solo Aged,1.75,HS01,0,Star Wars,semsubtema,10
First Order Gunner ,1.75,EF01,0,Star Wars,semsubtema,10
Shadow Guard,1.75,SG04,0,Star Wars,semsubtema,10
Deadshot DCEU,1.75,DD03,0,DC Comics,semsubtema,10
Snowtrooper,1.95,SN03,0,Star Wars,semsubtema,10
Porky Pig,2.25,PP02,1,Looney Tunes,semsubtema,10
Cassandra Nova Xavier,1.75,CN01,1,Marvel,semsubtema,10
Ms. Marvel,1.75,MM18,1,Marvel,semsubtema,10
Pennywise Clown,2.25,PC03,1,Filmes e Séries,semsubtema,10
Bith Musician,2.95,BM03,1,Star Wars,semsubtema,10
Viajante do Faroeste,1.75,VD04,1,Tempos Antigos,semsubtema,10
Gorila,2.5,GO06,1,Animais,semsubtema,10
Guarda de Honra Alemão,2,GD02,1,Militar,WW2,10
Ripley,1.95,RI03,1,Filmes e Séries,semsubtema,10
Skeletor v2,1.95,MV16,1,Masters of the Universe,semsubtema,10
Rhino XL,4.5,RX01,1,Marvel,semsubtema,10
Robin v2,2,RV05,1,DC Comics,semsubtema,10
Mr. Negative’s Henchman ,1.75,MN02,1,Marvel,semsubtema,10
Wampa,4.5,WA01,1,Star Wars,semsubtema,10
Skiff Guard ,1.75,SG09,1,Star Wars,semsubtema,10
Ronin v1,2.25,RV06,1,Marvel,semsubtema,10
Dexter Morgan,2.5,DM08,1,Filmes e Séries,semsubtema,10
Luke Cage BD,1.75,LC03,1,Marvel,semsubtema,10
Ronin v2,1.75,RV07,1,Marvel,semsubtema,10
Black Flash,1.95,BF03,1,DC Comics,semsubtema,10
Scarecrow,1.75,SC01,1,DC Comics,semsubtema,10
Hulkbuster e Iron Man,6.5,HE05,1,Marvel,semsubtema,10
Black Widow v1,1.75,BW02,1,Marvel,Avengers,10
Ares ,2.25,AR05,1,DC Comics,semsubtema,10
Silver Surfer,1.95,SS05,1,Marvel,X-Men,10
R4-P17,2,RP02,1,Star Wars,semsubtema,10
Atom ,1.75,AT07,1,DC Comics,semsubtema,10
Erling Haaland ,1.75,EH02,2,Futebol,semsubtema,10
R2-Q5 ,2.25,RQ01,2,Star Wars,semsubtema,10
Galactus,1.75,GA01,2,Marvel,semsubtema,10
Freddie Mercury,2.25,FM04,2,Famosos,semsubtema,10
Cowboy v3,1.95,CV09,2,Faroeste,semsubtema,10
Shanghai Gangster v3,1.75,SG07,2,Cidade,semsubtema,10
Cavaleiro Templário v1 Personalizado,2,PT01,2,Medieval,semsubtema,10
Soldado Alemão v8,1.75,SA05,2,Militar,WW2,10
Alfred Pennyworth ,1.75,AP01,2,DC Comics,semsubtema,10
Wolverine Aged,1.95,WA07,2,Marvel,X-Men,10
Monkey King ,1.75,MK02,2,Filmes e Séries,semsubtema,10
Count Nefaria ,1.75,CN04,2,Marvel,semsubtema,10
Bellatrix Lestrange,1.75,BL01,2,Harry Potter,semsubtema,10
Longshot,1.75,LO10,2,Marvel,X-Men,10
Green Arrow,1.95,GA04,2,DC Comics,semsubtema,10
